,grid_id,long1,lat1,long2,lat2,long3,lat3,long4,lat4,long5,lat5,patient
0,42,121.26325681908,30.6873242986445,121.263653036321,30.6963228911361,121.274065925754,30.695979999291,121.273668748034,30.6869815288364,121.26325681908,30.6873242986445,0.0
1,43,121.273668748034,30.6869815288364,121.274065925754,30.695979999291,121.284478636378,30.6956362760358,121.284080498247,30.6866379279132,121.273668748034,30.6869815288364,0.0
2,56,121.409007402554,30.6824499084329,121.409417060175,30.6914467655656,121.419827407139,30.6910922386385,121.419416790018,30.6820955076713,121.409007402554,30.6824499084329,0.0
3,57,121.419416790018,30.6820955076713,121.419827407139,30.6910922386385,121.430237569273,30.6907368810225,121.429825992724,30.6817402765156,121.419416790018,30.6820955076713,0.0
4,152,121.263653036321,30.6963228911361,121.26404943194,30.7053214665239,121.274463282283,30.7049784526197,121.274065925754,30.695979999291,121.263653036321,30.6963228911361,0.0
5,153,121.274065925754,30.695979999291,121.274463282283,30.7049784526197,121.284876953748,30.7046346070102,121.284478636378,30.6956362760358,121.274065925754,30.695979999291,0.0
6,154,121.284478636378,30.6956362760358,121.284876953748,30.7046346070102,121.295290445905,30.7042899297462,121.294891167763,30.695291721421,121.284478636378,30.6956362760358,0.0
7,155,121.294891167763,30.695291721421,121.295290445905,30.7042899297462,121.305703758323,30.7039444208785,121.305303519478,30.6949463354977,121.294891167763,30.695291721421,0.0
8,156,121.305303519478,30.6949463354977,121.305703758323,30.7039444208785,121.316116890572,30.7035980804582,121.315715691094,30.6946001183167,121.305303519478,30.6949463354977,0.0
9,157,121.315715691094,30.6946001183167,121.316116890572,30.7035980804582,121.326529842221,30.7032509085363,121.32612768218,30.6942530699292,121.315715691094,30.6946001183167,0.0
10,158,121.32612768218,30.6942530699292,121.326529842221,30.7032509085363,121.336942612841,30.7029029051642,121.336539492306,30.6939051903864,121.32612768218,30.6942530699292,0.0
11,166,121.409417060175,30.6914467655656,121.409826902197,30.7004436052804,121.42023820909,30.700088952165,121.419827407139,30.6910922386385,121.409417060175,30.6914467655656,0.0
12,167,121.419827407139,30.6910922386385,121.42023820909,30.700088952165,121.430649331082,30.699733468066,121.430237569273,30.6907368810225,121.419827407139,30.6910922386385,0.0
13,261,121.25363540315,30.7056636486722,121.254031015807,30.7146623287376,121.264446006007,30.7143200248033,121.26404943194,30.7053214665239,121.25363540315,30.7056636486722,0.0
14,262,121.26404943194,30.7053214665239,121.264446006007,30.7143200248033,121.27486081769,30.7139768888179,121.274463282283,30.7049784526197,121.26404943194,30.7053214665239,0.0
15,263,121.274463282283,30.7049784526197,121.27486081769,30.7139768888179,121.285275450427,30.7136329208321,121.284876953748,30.7046346070102,121.274463282283,30.7049784526197,0.0
16,264,121.284876953748,30.7046346070102,121.285275450427,30.7136329208321,121.295689903786,30.7132881208966,121.295290445905,30.7042899297462,121.284876953748,30.7046346070102,0.0
17,265,121.295290445905,30.7042899297462,121.295689903786,30.7132881208966,121.306104177337,30.7129424890623,121.305703758323,30.7039444208785,121.295290445905,30.7042899297462,0.0
18,266,121.305703758323,30.7039444208785,121.306104177337,30.7129424890623,121.31651827065,30.7125960253803,121.316116890572,30.7035980804582,121.305703758323,30.7039444208785,0.0
19,267,121.316116890572,30.7035980804582,121.31651827065,30.7125960253803,121.326932183293,30.7122487299017,121.326529842221,30.7032509085363,121.316116890572,30.7035980804582,0.0
20,268,121.326529842221,30.7032509085363,121.326932183293,30.7122487299017,121.337345914836,30.7119006026778,121.336942612841,30.7029029051642,121.326529842221,30.7032509085363,0.0
21,269,121.336942612841,30.7029029051642,121.337345914836,30.7119006026778,121.347759464849,30.7115516437599,121.347355202,30.7025540703931,121.336942612841,30.7029029051642,0.0
22,270,121.347355202,30.7025540703931,121.347759464849,30.7115516437599,121.358172832901,30.7112018531996,121.357767609268,30.7022044042746,121.347355202,30.7025540703931,0.0
23,275,121.399415410833,30.7007974273597,121.399824476896,30.7097943755684,121.41023692869,30.7094404275728,121.409826902197,30.7004436052804,121.399415410833,30.7007974273597,0.0
24,371,121.254031015807,30.7146623287376,121.254426806549,30.723660991712,121.264842758589,30.7233185659697,121.264446006007,30.7143200248033,121.254031015807,30.7146623287376,0.0
25,372,121.264446006007,30.7143200248033,121.264842758589,30.7233185659697,121.275258532044,30.722975307881,121.27486081769,30.7139768888179,121.264446006007,30.7143200248033,0.0
26,373,121.27486081769,30.7139768888179,121.275258532044,30.722975307881,121.285674126483,30.7226312174966,121.285275450427,30.7136329208321,121.27486081769,30.7139768888179,0.0
27,374,121.285275450427,30.7136329208321,121.285674126483,30.7226312174966,121.296089541476,30.7222862948674,121.295689903786,30.7132881208966,121.285275450427,30.7136329208321,0.0
28,375,121.295689903786,30.7132881208966,121.296089541476,30.7222862948674,121.30650477659,30.7219405400443,121.306104177337,30.7129424890623,121.295689903786,30.7132881208966,0.0
29,376,121.306104177337,30.7129424890623,121.30650477659,30.7219405400443,121.316919831397,30.7215939530783,121.31651827065,30.7125960253803,121.306104177337,30.7129424890623,0.0
30,377,121.31651827065,30.7125960253803,121.316919831397,30.7215939530783,121.327334705464,30.7212465340206,121.326932183293,30.7122487299017,121.31651827065,30.7125960253803,0.0
31,378,121.326932183293,30.7122487299017,121.327334705464,30.7212465340206,121.337749398362,30.7208982829225,121.337345914836,30.7119006026778,121.326932183293,30.7122487299017,0.0
32,379,121.337345914836,30.7119006026778,121.337749398362,30.7208982829225,121.348163909659,30.7205491998354,121.347759464849,30.7115516437599,121.337345914836,30.7119006026778,0.0
