source,target,weight,distance
152,932,50,12185.71845
152,2129,22,18218.33628
152,2451,13,23668.57157
152,2546,16,34006.71589
155,6205,13,54907.23887
155,6207,12,54942.97108
262,1269,15,19201.857
262,1375,28,16372.97008
262,1376,14,17174.92897
262,1710,24,22164.78809
262,1799,17,14294.32087
262,4609,17,68930.09483
262,1379,18,19688.70585
262,1687,17,13905.66634
263,1150,38,10612.05431
263,1932,15,24164.74421
263,2438,18,31966.22054
263,4017,48,36705.65735
264,4444,11,37936.29391
266,1362,35,10752.27272
266,1375,17,13430.1774
266,1376,22,14117.4162
266,1473,19,11382.58123
266,1244,14,14975.453
266,2847,11,55836.40466
266,3234,30,27028.30948
267,1375,183,12783.86455
267,1376,129,13430.03921
268,4779,79,40941.56333
268,5221,21,45021.75835
268,1806,62,14117.99596
268,2561,15,26974.42889
268,2016,25,19966.86983
268,1807,67,14011.63951
268,4780,13,40977.84876
269,1590,64,12020.7332
269,1700,66,13015.81654
269,1487,98,13577.41657
269,1378,167,13429.76185
269,6418,25,56974.73811
372,1375,38,15784.15487
372,1602,26,22785.28568
372,2846,58,58196.42172
372,7886,42,75887.04268
372,2847,69,59121.59309
372,4788,33,43006.45307
372,2576,36,20361.88365
373,2345,17,19665.67972
373,2808,24,26580.64574
373,4825,18,65477.647
373,5914,26,64539.10647
374,1821,38,21363.19306
374,3234,20,25956.4112
374,1808,64,13578.39179
375,1269,74,16096.16362
375,1375,111,13430.24614
375,9049,55,80474.47376
376,1155,15,11381.88353
376,1156,34,12185.21942
376,1360,13,10798.62819
376,1375,17,12705.74018
376,1376,42,13430.10812
376,1473,25,10422.75027
376,1486,23,14117.41625
376,1590,20,11684.6014
376,1690,21,13394.04988
376,2027,21,15007.71212
376,2566,23,22323.86484
376,2676,21,23221.11213
376,1374,30,12020.67075
376,7883,14,73029.82191
377,1375,62,12020.54721
377,1376,325,12705.60944
377,1682,34,19178.03181
377,1683,36,18408.91315
377,2028,30,15007.55918
377,6205,34,52947.73321
377,1133,27,15626.86026
378,1473,155,11161.42584
378,1378,202,13429.83108
378,1806,928,13130.49528
378,1807,877,13016.08284
379,1378,965,12705.34704
380,1699,31,12020.73325
380,2027,16,15270.71365
380,2028,19,15106.60682
380,2450,13,27541.07789
380,2465,17,19613.24664
380,1244,13,17858.90906
380,1796,16,19073.13231
380,1600,16,14839.47034
380,2452,14,26129.40786
380,7105,18,62703.16678
380,6100,14,51909.6505
380,1805,29,13904.5423
380,6432,12,54940.16192
380,4221,15,36077.48493
380,4547,12,40095.03625
380,6208,16,52946.11255
482,1375,83,15238.04636
482,1376,42,16096.65996
482,1486,47,16614.56523
482,1589,35,12185.90524
482,1596,70,17174.9291
482,1598,79,18835.17316
482,1706,89,17773.73617
482,2043,29,25194.34533
482,2629,41,59965.75054
482,2630,28,60913.06053
482,2809,32,26971.42003
482,2846,331,57827.2441
482,3235,32,25137.27054
482,3579,54,32699.5856
482,7555,34,71875.41977
482,7886,242,74995.58268
482,8319,72,75824.17283
482,1244,38,10612.96298
482,1268,54,17433.89939
482,2738,209,59348.28708
482,2814,109,30360.01425
482,2815,84,31089.5693
482,2836,86,48662.56746
482,2847,376,58758.2326
482,3234,53,25038.07916
482,7995,112,75446.33166
482,1817,60,19176.08934
482,2703,46,28948.85323
482,2737,91,58409.66722
482,2813,48,29646.10619
482,2848,82,59691.36793
482,6576,54,70301.57725
482,7885,48,74549.59196
482,7994,48,75016.30384
482,2561,44,21919.33697
482,2628,63,59020.09115
482,2929,60,34765.63285
482,2407,66,57455.37894
482,2623,62,54319.58813
482,2509,70,50233.21522
482,5007,44,43582.11796
482,2702,37,28234.53366
482,2726,59,48241.06047
