source,target,weight,distance
152,932,29,12185.71845
152,1897,40,21897.0185
153,712,19,10278.00277
153,822,17,10798.13442
153,1041,22,11294.3959
262,1134,30,11295.42067
262,1243,31,12707.41136
262,1352,36,14119.41597
262,1461,30,15531.43444
262,1570,27,16943.46676
262,1679,22,18355.51287
262,1897,103,21179.64639
263,1134,13,12022.07
263,1897,25,21896.90957
263,1590,23,13868.80047
268,1379,17,14839.70075
268,1269,39,14187.46131
269,1368,106,10032.56748
269,6204,27,54138.69696
372,1886,67,29484.51162
372,1897,27,20485.82681
372,2003,25,24169.61658
372,2439,74,29786.83814
372,2737,39,58758.23235
372,1569,36,17002.28034
372,2327,37,30758.61028
372,4788,32,43006.45307
373,1243,15,12785.54764
373,1351,20,14975.90152
373,2003,120,24960.81764
373,1460,11,16374.95082
373,1893,17,24374.84866
373,1894,18,23563.74278
373,1242,14,13579.55158
373,1459,19,17177.17988
373,1568,16,18571.46646
374,1265,13,13577.90502
374,2003,34,25766.40066
374,8420,17,74601.45774
374,1370,14,10798.19012
374,1893,11,25199.17696
374,1894,11,24374.60834
374,3165,25,47930.05074
374,8201,12,72878.10525
374,4608,54,65900.80805
374,1808,15,13578.39179
374,4913,14,50127.80016
374,4279,11,65063.82141
374,4498,29,65331.54179
375,1265,20,12783.99547
375,2158,26,27967.27335
375,3234,21,25975.47113
375,9268,38,82632.16703
375,8721,38,77153.79848
375,9049,29,80474.47376
375,9158,16,81655.31415
375,2048,27,27409.49101
375,7879,14,71980.47757
375,8940,16,79301.2126
375,2157,22,27153.97669
375,7878,14,71654.8199
376,1265,14,12020.60879
376,6511,11,61230.56306
376,6402,14,59913.68422
377,1376,92,12705.60944
482,1265,39,14739.39223
482,1478,41,10798.40973
482,1598,76,18835.17316
482,1886,256,29024.45351
482,2003,68,23563.97489
482,2439,441,29161.1011
482,2737,217,58409.66722
482,2847,191,58758.2326
482,3095,27,36069.74337
482,3234,62,25038.07916
482,1376,45,16096.65996
482,1486,56,16614.56523
482,1706,61,17773.73617
482,2327,147,30186.07884
482,2328,107,29365.64597
482,2406,81,56502.91296
482,2815,80,31089.5693
482,2955,119,57273.67718
482,4112,78,32945.34127
482,5588,52,64930.47588
482,1596,63,17174.9291
482,2329,31,28556.57079
482,2628,133,59020.09115
482,2738,193,59348.28708
482,2739,53,60288.79524
482,2846,199,57827.2441
482,2956,94,58196.42197
482,8316,72,74813.30086
482,1375,116,15238.04636
482,7879,52,72106.06729
482,7995,121,75446.33166
482,1487,54,17462.54636
482,8319,144,75824.17283
482,2836,68,48662.56746
482,8429,80,76758.01141
482,2957,59,59121.59335
482,1808,29,13393.77892
482,2217,40,29636.13453
482,1806,31,12627.90404
482,2107,69,29110.05765
482,2513,55,53979.25366
482,2626,66,57134.05436
482,2629,43,59965.75054
482,2736,50,57473.0288
482,2845,81,56898.50841
482,2848,146,59691.36793
482,3062,133,54930.80291
482,4678,37,41159.40623
482,4788,52,42081.22317
482,4790,31,42878.37647
482,5319,23,44029.77071
482,6466,24,69524.97647
482,6794,55,70669.82027
482,7334,25,69643.98267
482,7878,63,71739.31332
482,7886,150,74995.58268
482,8315,68,74500.03419
482,8428,65,76413.63571
483,1243,72,12186.82418
483,1351,93,14399.03492
483,1352,39,13579.55164
483,2003,491,24374.84875
483,1460,66,15786.06438
483,1893,81,23816.33509
483,1894,58,22985.53472
483,1242,48,13017.3933
483,1459,71,16616.74263
483,1568,79,17999.06023
484,2003,73,25199.17706
484,1893,20,24659.34624
484,1894,27,23816.10028
485,2003,34,26035.68071
487,1376,288,12020.48515
488,2465,70,18217.23195
488,2028,61,13975.96051
489,1701,374,11160.91337
489,4237,385,34866.72978
489,4127,464,33895.80507
489,4235,881,34464.65418
489,4236,4531,34651.90174
489,4126,1500,33674.77333
591,1569,14,14976.19878
592,1265,30,14293.16017
592,1598,37,18325.65767
592,1886,92,28591.87417
592,2439,175,28556.5709
592,2737,83,58076.16386
592,2847,86,58409.66748
592,3095,23,35414.25564
592,3234,30,24043.05684
592,8420,37,73118.12301
592,9268,14,80103.61449
