source,target,weight,distance
703,2743,31,62517.59965
703,2815,31,29017.1641
703,3249,23,27968.87497
703,3474,18,32591.73545
703,6031,11,67752.08375
703,2259,14,21223.12731
703,2814,23,28269.36566
703,3471,18,30751.67477
703,2509,44,48610.31709
703,2617,13,47080.47362
703,2618,17,48012.59098
703,2623,23,52709.13891
703,2626,19,55551.43056
703,2628,22,57454.76146
703,2726,24,46527.31871
703,2727,19,47449.3247
703,2728,22,48374.33135
703,2836,35,46921.76069
703,2837,16,47836.16055
703,2838,29,48753.82423
703,2946,11,47333.96572
703,2947,13,48240.54852
703,2948,17,49150.65841
703,2952,20,52822.6991
703,3050,15,42465.03189
703,3051,18,43335.67042
703,3062,22,53207.89429
703,3803,19,34348.43878
703,4685,16,42114.98263
703,7334,11,67411.82851
703,8429,12,74538.20397
703,2741,13,60609.13057
703,3376,20,40729.45064
703,2507,21,46730.03319
703,4901,13,41973.65679
703,3687,22,30360.96201
703,3820,18,46314.20227
704,1806,90,10180.83875
704,1807,385,10422.64468
705,1378,65,14292.72009
705,1806,585,10032.87437
705,1700,109,10278.00364
705,1807,1565,10180.73538
706,1378,110,13392.8185
706,1807,241,10032.77237
708,2341,109,22634.57738
708,2451,94,23307.14523
708,2561,159,24002.40454
708,2562,47,23307.02937
708,5775,39,46447.99722
708,2465,71,16251.11674
708,1806,105,10180.63175
708,2450,91,24044.01466
710,2028,97,12144.51135
710,5775,57,46189.35601
710,2465,108,16734.35586
710,1806,177,10751.83564
710,1807,167,10422.32604
711,5775,38,46091.9343
711,7535,20,62019.03395
711,2450,18,26357.41422
711,4989,47,40735.58597
712,1821,17,13429.34357
712,2028,14,12627.13201
712,1805,19,12185.53278
712,7535,13,61962.45351
712,1381,40,10797.13234
808,601,12,13130.82643
808,1932,20,25954.80855
811,1806,17,10278.42115
812,1376,12,14840.3873
812,2834,24,45608.9796
813,5921,11,66355.59633
814,1375,16,12062.11138
814,1602,16,19279.04801
814,1817,16,15783.83147
814,2028,24,11684.83974
814,3234,15,21963.11736
814,5921,16,65638.28101
814,2847,16,55863.74796
814,2027,16,11382.46601
814,2743,11,61278.22423
815,1379,22,14839.92976
816,1378,108,12977.14281
818,2028,631,10981.1119
818,2341,224,21986.78353
818,2451,301,22634.57746
818,2561,252,23307.14532
818,2465,399,15271.02551
818,2450,201,23392.63585
819,2028,87,11026.33866
819,2138,61,12020.85653
820,2028,70,11161.02793
821,1491,12,11640.91729
821,1805,20,10798.08011
821,1381,24,11160.21998
822,2138,11,12627.13206
822,7535,13,60965.41278
822,1381,14,10277.049
917,379,11,12978.33435
919,599,13,10422.802
920,1130,12,10181.85775
921,601,12,10422.59059
921,1699,13,10612.21611
923,1598,11,16127.33692
923,2451,11,18409.46582
923,8528,23,70488.55191
924,2247,11,12348.39189
925,2465,13,13976.38751
925,2992,11,29785.96098
926,7752,11,62182.05576
927,1683,50,15626.86055
927,1821,36,16095.83113
927,1932,28,17461.64613
927,2028,101,10032.6702
927,2138,42,11026.45135
927,2341,41,20581.99571
927,2465,59,14118.13999
927,7536,20,60564.89236
